Year,500cc MotoGP Nation,500cc MotoGP Rider,500cc MotoGP Make,350cc Nation,350cc Rider,350cc Make,250cc Moto2 Nation,250cc Moto2 Rider,250cc Moto2 Make,125cc Moto3 Nation,125cc Moto3 Rider,125cc Moto3 Make,50cc 80cc Nation,50cc 80cc Rider,50cc 80cc Make,750cc Nation,750cc Rider,750cc Make,MotoE Nation,MotoE Rider,MotoE Make
2009,Italy,Valentino Rossi,Yamaha,,,,Japan,Hiroshi Aoyama,Honda,Spain,Julián Simón,Aprilia,,,,,,,,,
2010,Spain,Jorge Lorenzo,Yamaha,,,,Spain,Toni Elías,Moriwaki,Spain,Marc Márquez,Derbi,,,,,,,,,
2011,Australia,Casey Stoner,Honda,,,,Germany,Stefan Bradl,Kalex,Spain,Nicolás Terol,Aprilia,,,,,,,,,
2012,Spain,Jorge Lorenzo,Yamaha,,,,Spain,Marc Márquez,Suter,Germany,Sandro Cortese,KTM,,,,,,,,,
2013,Spain,Marc Márquez,Honda,,,,Spain,Pol Espargaró,Kalex,Spain,Maverick Viñales,KTM,,,,,,,,,
2014,Spain,Marc Márquez,Honda,,,,Spain,Esteve Rabat,Kalex,Spain,Alex Márquez,Honda,,,,,,,,,
2015,Spain,Jorge Lorenzo,Yamaha,,,,France,Johann Zarco,Kalex,UK,Danny Kent,Honda,,,,,,,,,
2016,Spain,Marc Márquez,Honda,,,,France,Johann Zarco,Kalex,RSA,Brad Binder,KTM,,,,,,,,,
2017,Spain,Marc Márquez,Honda,,,,Italy,Franco Morbidelli,Kalex,Spain,Joan Mir,Honda,,,,,,,,,
2018,Spain,Marc Márquez,Honda,,,,Italy,Francesco Bagnaia,Kalex,Spain,Jorge Martín,Honda,,,,,,,,,
2019,Spain,Marc Márquez,Honda,,,,Spain,Álex Márquez,Kalex,Italy,Lorenzo Dalla Porta,Honda,,,,,,,Italy,Matteo Ferrari,Energica
